film_id,"title","release_date",release_week,"runtime",budget,revenue,profit,animation,adventure,action,comedy,crime,drama,fantasy,family,history,horror,music,mystery,romance,science fiction,thriller,war,western,"genres",hit,num_bankable_actor
11017,"Billy Madison","1995-02-10",6,"89.0",10000000,26488734,3244367.0000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}]",0,1
11018,"Year of the Dragon","1985-08-16",32,"134.",24000000,18707466,-14646267.0000,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0,0
11022,"Narc","2002-01-14",2,"105.",6500000,12633747,-183126.5000,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0,0
11023,"Thirteen","2003-08-20",33,"100.",2000000,4601043,300521.5000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",0,0
11026,"Exorcist: The Beginning","2004-08-20",33,"114.",80000000,78000586,-40999707.0000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",0,0
11031,"This Is Spinal Tap","1984-05-04",18,"82.0",2500000,4736202,-131899.0000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",0,0
11033,"Dressed to Kill","1980-06-25",25,"105.",6500000,31899000,9449500.0000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",0,0
11034,"The Great Gatsby","1974-03-27",12,"144.",6500000,26533200,6766600.0000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,0
11036,"The Notebook","2004-06-25",25,"123.",29000000,115603229,28801614.5000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",0,0
11040,"Little Big Man","1970-12-14",50,"139.",15000000,31559552,779776.0000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"[{'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}, {'id': 36, 'name': 'History'}]",0,0
11042,"The Barbarian Invasions","2003-05-21",20,"99.0",8000000,3432342,-6283829.0000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",0,0
11045,"Taxi","2004-10-06",40,"97.0",25000000,36609966,-6695017.0000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",0,0
11046,"Where Eagles Dare","1968-12-04",48,"155.",7700000,21000000,2800000.0000,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",0,0
11051,"The Last Temptation of Christ","1988-08-12",32,"164.",7000000,8373585,-2813207.5000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}]",0,0
